"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date","foundyear"
"2949","IntenseDebate","Media and Entertainment, Information Technology, Content and Publishing, Financial Services","Boulder, Colorado, United States","Was Acquired","","2006-12-01",55,"Reputation, Finance, Blogging Platforms, FinTech","1-10",2,2,"2007-10-01",5e+05,"Angel",5e+05,515000,515000,3,0,"","","","","",-6
"2966","iVideosongs","Media and Entertainment, Music and Audio, Education, Video","Florida, New York, United States","Was Acquired","","",7,"Video, Tutoring, Music","",2,1,"2008-01-01",3300000,"Angel",3300000,3300000,3300000,NA,NA,"","","","","",NA
"3012","InOpen","Software, Education","Mumbai, Maharashtra, India","Was Acquired","","2009-10-01",6,"Training, E-Learning, Education","51-100",1,2,"2013-11-24",0,"Series A",0,0,0,2,1,"","","","","",-3
"3078","iubble","Hardware, Consumer Electronics, Software","Hoboken, New Jersey, United States","Was Acquired","","2014-01-01",NA,"Software, Computer","1-10",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"3179","Innophene","Hardware, Consumer Electronics","Bangkok, Krung Thep, Thailand","Was Acquired","","2011-01-01",NA,"Electronics","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"3186","Ierae Security","","","Was Acquired","","2011-01-01",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"3242","Ignite Logic","","","Was Acquired","","2003-01-01",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-9
"3253","Juno Therapeutics","Biotechnology, Science and Engineering, Health Care","Seattle, Washington, United States","IPO","","2013-01-01",287,"Health Care, Biotechnology, Therapeutics","251-500",6,3,"2014-08-05",1.34e+08,"Series B",1.34e+08,3.1e+08,3.1e+08,6,3,"NASDAQ","JUNO","$1,675,700,000","$264,600,000","2014-12-19",1
"3263","Jybe","Media and Entertainment, Internet Services, Mobile","Menlo Park, California, United States","Was Acquired","","2011-01-01",16,"Mobile, Social Media","1-10",1,1,"2011-02-22",250250,"Seed",250250,250250,250250,NA,NA,"","","","","",-1
"3264","Jacked","Media and Entertainment, Software, Sports, Sales and Marketing, Internet Services, Video, Content and Publishing, Advertising","Santa Monica, California, United States","Was Acquired","","2006-06-01",31,"Web Development, News, Advertising, Sports, Photography, Developer Tools, Video, Search Engine","11-50",3,3,"2008-10-01",2500000,"Series B",2500000,9e+06,9e+06,4,0,"","","","","",-6
"3275","Jet Cooper","Apps, Software, Sales and Marketing, Internet Services, Design, Mobile, Advertising","Toronto, Ontario, Canada","Was Acquired","","2009-01-01",12,"Internet, Apps, Product Design, Advertising, Mobile","",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",-3
"3295","JasperLabs","Software, Sales and Marketing, Internet Services, Advertising","San Francisco, California, United States","Was Acquired","","2009-01-01",4,"Internet, Advertising, Software","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-3
"3313","jobsBCN","Administrative Services","Barcelona, Catalonia, Spain","Was Acquired","","2015-01-01",NA,"Staffing Agency","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"3356","Kior","Natural Resources, Energy","Pasadena, Texas, United States","IPO","","2007-01-01",47,"Energy, Oil and Gas, Fuel","251-500",1,5,"2013-10-21",1e+08,"Post-IPO Equity",1e+08,224320000,299320000,3,2,"NASDAQ","KIOR","$587,000,000","$150,000,000","2011-07-24",-5
"3359","Kampyle","Data and Analytics, Software","Ramat Gan, Tel Aviv, Israel","Was Acquired","","2007-04-01",22,"Analytics, Customer Service, Enterprise Software","11-50",2,1,"2009-01-01",1e+06,"Series A",1e+06,1e+06,1e+06,1,1,"","","","","",-5
"3361","Kigo","Travel and Tourism, Software","Philadelphia, Pennsylvania, United States","Was Acquired","","2007-01-01",5,"Travel, Software, SaaS","11-50",1,1,"2013-04-01",1800000,"Series A",1800000,1800000,1800000,1,1,"","","","","",-5
"3364","Kima Labs","Mobile","San Francisco, California, United States","Was Acquired","","2010-01-01",11,"Mobile","",2,1,"2010-08-01",770000,"Seed",770000,770000,770000,6,0,"","","","","",-2
"3365","Kudo","Commerce and Shopping, Information Technology, Payments, Financial Services","Jakarta, Jakarta Raya, Indonesia","Was Acquired","","2014-01-01",1,"E-Commerce, Information Technology, Payments","1-10",1,2,"2016-09-14",0,"Series Unknown",0,0,0,5,3,"","","","","",2
"3367","Kickfire Analytics","Manufacturing, Data and Analytics, Software","Santa Clara, California, United States","Was Acquired","","2006-01-01",NA,"Analytics, Manufacturing, Database","",0,2,"2008-07-31",2e+07,"Series B",2e+07,2e+07,2e+07,6,2,"","","","","",-6
"3387","Kraft Foods","Travel and Tourism, Food and Beverage","Carthage, Illinois, United States","Was Acquired","","2012-01-01",179,"Hospitality, Food Processing","10001+",0,NA,"",0,"",0,0,0,NA,NA,"NASDAQ","KRFT","","","2012-09-28",0
"3400","Keepstream","Media and Entertainment, Internet Services","Austin, Texas, United States","Was Acquired","","2010-01-01",10,"Social Media, Real Time","1-10",3,1,"2010-05-01",20000,"Seed",20000,20000,20000,1,0,"","","","","",-2
"3402","Kurion","Sustainability, Health Care","Irvine, California, United States","Was Acquired","","1999-01-01",41,"Waste Management, Health Care","51-100",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",-13
"3405","KillerStartups","Media and Entertainment, Internet Services, Content and Publishing","Columbus, Ohio, United States","Was Acquired","","2007-01-20",23,"Internet, Blogging Platforms","1-10",1,2,"2012-09-01",0,"Seed",0,250000,250000,2,0,"","","","","",-5
"3408","Kitematic","Software, Internet Services","Kitchener, Ontario, Canada","Was Acquired","","2013-01-01",7,"Cloud Computing, Software, Developer Tools","1-10",3,NA,"",0,"",0,0,0,NA,NA,"","","","","",1
"3411","Kopla Games","Gaming, Software, Mobile","Tampere, Western Finland, Finland","Was Acquired","","2015-01-01",1,"Gaming, Web Development, Mobile","1-10",4,1,"2016-03-02",0,"Seed",0,761785,761785,1,0,"","","","","",3
"3452","Kapplex","Health Care","Toronto, Ontario, Canada","Was Acquired","","2012-01-01",NA,"Health Diagnostics","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"3531","Lovely","Commerce and Shopping, Real Estate","San Francisco, California, United States","Was Acquired","","2010-01-01",30,"Commercial Real Estate, Real Estate, Marketplace","51-100",3,4,"2014-04-28",2500000,"Series B",2500000,4500000,4500000,12,0,"","","","","",-2
"3532","Looksery","Media and Entertainment, Information Technology, Internet Services, Video, Messaging and Telecommunications, Mobile","San Francisco, California, United States","Was Acquired","","2013-08-22",27,"Messaging, Mobile, Video","11-50",2,2,"2014-10-01",10000,"Grant",46000,46000,56000,1,0,"","","","","",1
"3533","LiveTiles","Information Technology","New York, New York, United States","IPO","","1994-01-01",2,"Information Technology","51-100",2,1,"2015-09-18",1.2e+07,"Post-IPO Equity",1.2e+07,8622796,8622796,NA,NA,"ASX","LVT","","","2003-01-10",-18
"3541","LaunchRock","Media and Entertainment, Software, Internet Services","Walnut, California, United States","Was Acquired","","2011-01-28",85,"SaaS, Enterprise Software, Social Media","51-100",4,1,"2011-11-08",8e+05,"Seed",8e+05,8e+05,8e+05,10,0,"","","","","",-1
"3544","LocalVox Media","Commerce and Shopping, Media and Entertainment, Sales and Marketing, Internet Services, Content and Publishing, Mobile, Advertising","New York, New York, United States","Was Acquired","","2010-03-01",11,"News, Mobile, Coupons, Local, Social Media, Local Advertising","11-50",2,5,"2014-02-27",1130000,"Debt Financing",1250000,8650000,10255000,4,2,"","","","","",-2
"3554","Loki Studios","Navigation and Mapping, Data and Analytics, Internet Services, Mobile","Palo Alto, California, United States","Was Acquired","","2010-01-01",24,"Location Based Services, Mobile","1-10",0,1,"2011-08-11",670000,"Seed",670000,670000,670000,1,0,"","","","","",-2
"3593","LVenture Group","Financial Services, Lending and Investments","Roma, Lazio, Italy","IPO","","2012-01-01",20,"Venture Capital","",1,NA,"",0,"",0,0,0,NA,NA,"BIT","LVEN","","â‚¬9,900,000","2010-06-04",0
"3611","LetsBonus","Commerce and Shopping","Barcelona, Catalonia, Spain","Was Acquired","","2009-01-01",2,"Shopping","251-500",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",-3
"3621","LoyalTree","Travel and Tourism, Commerce and Shopping, Sports","Pittsburgh, Pennsylvania, United States","Was Acquired","","2011-01-01",NA,"Hospitality, Retail, Sports","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"3770","Loop Health","","Oslo, Oslo, Norway","Was Acquired","","2014-01-01",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"3824","Lynx Labs","","","Was Acquired","","",NA,"","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",NA
"3839","mCASH","Software, Payments, Financial Services, Mobile","Oslo, Oslo, Norway","Was Acquired","","2010-01-01",6,"Mobile Payments, Mobile, Payments","11-50",0,1,"2014-02-20",0,"Series A",0,6625990,6625990,5,5,"","","","","",-2
"3846","Morta Security","Privacy and Security","Palo Alto, California, United States","Was Acquired","","2012-01-01",14,"Security","",1,1,"2013-02-13",1e+06,"Seed",1e+06,1e+06,1e+06,7,0,"","","","","",0
"3858","Memoir Systems","Platforms, Science and Engineering, Data and Analytics, Software","Sunnyvale, California, United States","Was Acquired","","2009-01-01",4,"Operating Systems, Application Performance Management, Intelligent Systems","11-50",2,1,"2010-10-04",5100000,"Series A",5100000,5100000,5100000,2,2,"","","","","",-3
"3861","Metaplace","Gaming, Apps, Media and Entertainment, Software, Internet Services","Solana Beach, California, United States","Was Acquired","","2006-07-01",54,"Social Media, Apps, MMO Games","1-10",1,3,"2010-03-15",1500000,"Series Unknown",1500000,9400000,9400000,5,3,"","","","","",-6
"3872","Muse & Co","Commerce and Shopping","Tokyo, Tokyo, Japan","Was Acquired","","2012-01-01",1,"E-Commerce","",0,2,"2013-05-17",3400000,"Series B",3400000,3400000,3400000,3,0,"","","","","",0
"3892","madKast","Information Technology, Software, Internet Services, Financial Services, Messaging and Telecommunications","Boulder, Colorado, United States","Was Acquired","","2007-03-01",12,"FinTech, Messaging, Finance, Developer Tools","",2,2,"2007-10-01",3e+05,"Series A",3e+05,315000,315000,9,0,"","","","","",-5
"3893","MADBITS","Science and Engineering, Data and Analytics, Software","New York, New York, United States","Was Acquired","","2013-01-01",NA,"Artificial Intelligence, Machine Learning","1-10",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",1
"3928","Mistbase","Hardware","Lund, Skane Lan, Sweden","Was Acquired","","2015-01-01",NA,"Telecommunications","1-10",2,1,"2015-08-28",0,"Funding Round",0,0,0,1,0,"","","","","",3
"3929","MarketEnterprise Co.,Ltd.","Sustainability, Professional Services","Sumida, Tokyo, Japan","IPO","","2006-07-07",NA,"Recycling, Recruiting","",1,1,"2014-09-12",0,"Series Unknown",0,1869716,1869716,1,0,"TYO","3135","","","2015-06-26",-6
"3930","Magic Internet GmbH","Media and Entertainment, Internet Services, Video","Berlin, Berlin, Germany","Was Acquired","","",NA,"Internet, Video, TV","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",NA
"3948","MetricsHub","Information Technology, Data and Analytics, Software, Internet Services","Bellevue, Washington, United States","Was Acquired","","2012-01-01",11,"Cloud Computing, Big Data, Software, Cloud Management","1-10",0,1,"2013-07-07",0,"Series Unknown",0,0,0,1,0,"","","","","",0
"3950","MassBlurb","Commerce and Shopping","Mumbai, Maharashtra, India","Was Acquired","","2014-01-01",3,"SaaS, E-Commerce","51-100",2,1,"2015-08-13",0,"Angel",0,0,0,4,1,"","","","","",2
"3952","Medstory","Sales and Marketing, Health Care, Internet Services, Advertising","Mountain View, California, United States","Was Acquired","","1998-08-01",4,"Health Care, Advertising, SEO","1-10",1,1,"2005-01-01",0,"Angel",0,0,0,1,0,"","","","","",-14
"3973","Mobile Makers Academy","Platforms, Software, Education, Mobile","Chicago, Illinois, United States","Was Acquired","","2012-07-17",6,"Mobile, iOS, Education, EdTech","11-50",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
"4057","Mobius Innovations","Data and Analytics, Mobile","Singapore, Central Region, Singapore","Was Acquired","","2011-01-01",6,"Big Data, Mobile, Analytics","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"4078","Mygreenbox","Commerce and Shopping","Gurgaon, Haryana, India","Was Acquired","","2014-01-01",1,"Retail","11-50",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"4090","MyPerfectSale","Commerce and Shopping, Community and Lifestyle, Design","San Francisco, California, United States","Was Acquired","","2008-01-01",4,"E-Commerce, Lifestyle, Fashion","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-4
"4225","Missing Link Tools","","Boulder, Colorado, United States","Was Acquired","","2008-01-01",NA,"","11-50",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-4
"4282","N-Trig","Hardware, Consumer Electronics, Software","Kfar Saba, HaMerkaz, Israel","Was Acquired","","1999-01-01",105,"Hardware, Computer, Software, Sensor","",1,9,"2014-11-01",4400000,"Series H",4400000,126968498,131968498,11,5,"","","","","",-13
"4284","Nextbit Systems","Hardware, Consumer Electronics, Software, Mobile","San Francisco, California, United States","Was Acquired","","2013-01-01",4,"Software, Mobile, Consumer Electronics","11-50",2,3,"2015-10-01",1362343,"Product Crowdfunding",1362343,19362343,19362343,5,3,"","","","","",1
"4286","Newsy","Media and Entertainment, Internet Services, Video, Content and Publishing, Mobile","Columbia, Missouri, United States","Was Acquired","","2008-09-01",34,"Video, Internet, Mobile, News","11-50",1,2,"2011-03-28",1500000,"Series B",1500000,3500000,3500000,NA,NA,"","","","","",-4
"4329","NameLayer","Data and Analytics, Internet Services","Los Angeles, California, United States","Was Acquired","","2011-08-05",6,"Business Intelligence, Web Hosting, Domain Registrar","1-10",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"4526","Orange","Hardware, Mobile","Paris, Ile-de-France, France","IPO","","1991-01-01",4600,"Mobile, Telecommunications","10001+",0,NA,"",0,"",0,0,0,NA,NA,"EURONEXT","ORA","","","1999-04-01",-21
"4530","Otto","Science and Engineering, Hardware, Software, Transportation, Financial Services","San Francisco, California, United States","Was Acquired","","2016-01-01",5,"FinTech, Electric Vehicle, Automotive, Software, Robotics, Transportation","11-50",4,NA,"",0,"",0,0,0,NA,NA,"","","","","",4
"4532","OpenStudy","Software, Education","Atlanta, Georgia, United States","Was Acquired","","2008-11-01",16,"EdTech, Education, E-Learning","1-10",3,1,"2008-01-01",1270000,"Seed",1270000,1270000,1270000,1,0,"","","","","",-4
"4534","One Jackson","Hardware, Commerce and Shopping, Consumer Electronics","Palo Alto, California, United States","Was Acquired","","2012-01-01",5,"E-Commerce, Crowdsourcing, Wearables","1-10",5,1,"2012-08-03",2e+06,"Seed",2e+06,2e+06,2e+06,12,0,"","","","","",0
"4549","OffiSync (Acquired by Jive)","Software","Seattle, Washington, United States","Was Acquired","","2010-01-01",22,"Software, Collaboration","11-50",2,1,"2010-09-03",1e+06,"Seed",1e+06,1e+06,1e+06,NA,NA,"","","","","",-2
"4557","OneClickwash","Internet Services","Gurgaon, Haryana, India","Was Acquired","","2015-01-01",1,"Internet","11-50",2,1,"2016-03-21",0,"Seed",0,0,0,1,1,"","","","","",3
"4560","Osmeta","Hardware, Software","Mountain View, California, United States","Was Acquired","","2011-01-01",9,"Software, Hardware","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"4562","Organic","Sales and Marketing, Advertising","Bloomfield Hills, Michigan, United States","Was Acquired","","1993-01-01",151,"Advertising, Digital Signage","251-500",2,NA,"",0,"",0,0,0,NA,NA,"","","","","",-19
"4563","Oui Open","Real Estate","Paris, Ile-de-France, France","Was Acquired","","2014-01-01",NA,"Real Estate, Commercial Real Estate","11-50",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",2
"4604","Oddpost","Media and Entertainment, Information Technology, Software, Internet Services, Messaging and Telecommunications","","Was Acquired","","2000-01-01",11,"Email, Content, Web Browsers","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-12
"4631","oFlows","","San Francisco, California, United States","Was Acquired","","2009-01-01",1,"","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",-3
"4652","OrlyAtomics","","San Francisco, California, United States","Was Acquired","","",1,"","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",NA
"4687","Pacific Biosciences","Biotechnology, Science and Engineering, Health Care","Menlo Park, California, United States","IPO","","2004-01-01",83,"Biotechnology, Genetics, Industrial","251-500",2,7,"2013-02-11",20500000,"Post-IPO Debt",1.09e+08,339220000,359720000,20,4,"NASDAQ","PACB","$802,000,000","$200,000,000","2010-10-27",-8
"4690","ParStream","Data and Analytics","Cupertino, California, United States","Was Acquired","","2011-01-01",71,"Analytics, Big Data, Business Intelligence, Real Time","10001+",3,2,"2013-10-17",8e+06,"Series B",8e+06,13600000,13600000,6,2,"","","","","",-1
"4702","ProtoGeo","Mobile","Helsinki, Southern Finland, Finland","Was Acquired","","2012-01-01",11,"Mobile","1-10",3,1,"2013-01-24",1600000,"Seed",1600000,1600000,1600000,3,0,"","","","","",0
